name,profile_url,followers,average_interactions,quote_cny,audience_tags,past_campaign_result,source_name,collected_at,is_mock,evidence_grade
模拟达人-素人01,https://example.com/mock-creator/0e76262a27b98af0/1,9630,478,500.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约350元；演示CTR 4.7% / CPC 0.58元 / 互动率 5.4%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-素人02,https://example.com/mock-creator/0e76262a27b98af0/2,4323,250,300.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约200元；演示CTR 4.2% / CPC 1.47元 / 互动率 4.0%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-素人03,https://example.com/mock-creator/0e76262a27b98af0/3,2110,45,800.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约400元；演示CTR 9.3% / CPC 0.8元 / 互动率 6.5%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-素人04,https://example.com/mock-creator/0e76262a27b98af0/4,3930,471,1100.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约350元；演示CTR 11.9% / CPC 0.46元 / 互动率 7.2%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-素人05,https://example.com/mock-creator/0e76262a27b98af0/5,6456,573,600.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约250元；演示CTR 8.0% / CPC 0.41元 / 互动率 6.0%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-素人06,https://example.com/mock-creator/0e76262a27b98af0/6,1866,37,900.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约500元；演示CTR 10.5% / CPC 2.01元 / 互动率 8.2%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-素人07,https://example.com/mock-creator/0e76262a27b98af0/7,8932,184,900.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约700元；演示CTR 3.8% / CPC 0.92元 / 互动率 6.9%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-素人08,https://example.com/mock-creator/0e76262a27b98af0/8,1112,80,1100.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约700元；演示CTR 5.3% / CPC 0.91元 / 互动率 10.1%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-素人09,https://example.com/mock-creator/0e76262a27b98af0/9,5349,272,300.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约200元；演示CTR 7.3% / CPC 0.96元 / 互动率 10.6%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
模拟达人-素人10,https://example.com/mock-creator/0e76262a27b98af0/10,7556,389,1000.0,探店|测评|开箱|香港曲奇伴手礼|曲奇礼盒|香港伴手礼|多口味|礼盒送礼,Mock演示合作（非真实投流）：图文合作1篇；建议笔记二次放大约550元；演示CTR 10.5% / CPC 2.5元 / 互动率 9.2%；粉丝画像匹配仅供分层演示，下单前须蒲公英复核,演示 Mock 数据包（scripts/generate_mock_data.py）,2026-07-24,true,M
